Na'vi,IPA,Part of speech,English,Audio URL,Audio local URL
'ok,[ʔok̚],n. ,remembrance,https://s.learnnavi.org/audio/vocab/100.mp3,100.mp3
'okrol,[ʔok.ˈɾol],n. ,history (ancient),https://s.learnnavi.org/audio/vocab/6228.mp3,6228.mp3
'oktrr,[ˈʔok.tṛ],n. ,day of commemoration,https://s.learnnavi.org/audio/vocab/11344.mp3,11344.mp3
'okvur,[ʔok.ˈvuɾ],n. ,history (nonancient),https://s.learnnavi.org/audio/vocab/6232.mp3,6232.mp3
'om,[ʔom],adj. ,"violet, purple, magenta",https://s.learnnavi.org/audio/vocab/6568.mp3,6568.mp3
'ompin,[ˈʔom.pin],n. ,"violet, purple, magenta",https://s.learnnavi.org/audio/vocab/6592.mp3,6592.mp3
'on,[ʔon],n. ,"shape, form",https://s.learnnavi.org/audio/vocab/9912.mp3,9912.mp3
'on si,[ˈʔon s·i],vin. ,"shape, give shape (to something)",https://s.learnnavi.org/audio/vocab/11668.mp3,11668.mp3
'ong,[ʔ·oŋ],vin. ,"unfold, blossom",https://s.learnnavi.org/audio/vocab/104.mp3,104.mp3
'onglawn,[ˈʔoŋ.lawn],n. ,exhiliration of first bonding,https://s.learnnavi.org/audio/vocab/13233.mp3,13233.mp3
'ongokx,[ˈʔ·o.ŋ·ok'],vin. ,be born,https://s.learnnavi.org/audio/vocab/6808.mp3,6808.mp3
'ongop,[ˈʔo.ŋ·op̚],vtr. ,design,https://s.learnnavi.org/audio/vocab/10132.mp3,10132.mp3
'ongopyu,[ˈʔo.ŋop.ju],n. ,designer,https://s.learnnavi.org/audio/vocab/10136.mp3,10136.mp3
'opin,[ˈʔo.pin],n. ,color,https://s.learnnavi.org/audio/vocab/4640.mp3,4640.mp3
'opinsung,[ˈʔo.pin.s·uŋ],vtr. ,"color, color in",https://s.learnnavi.org/audio/vocab/11660.mp3,11660.mp3
'opinvultsyìp,[ˈʔo.pin.vul.t͡sjɪp̚],n. ,crayon,https://s.learnnavi.org/audio/vocab/11484.mp3,11484.mp3
'ora,[ˈʔo.ɾa],n. ,lake,https://s.learnnavi.org/audio/vocab/4544.mp3,4544.mp3
'oratsyìp,[ˈʔo.ɾa.t͡sjɪp̚],n. ,"pond, pool",https://s.learnnavi.org/audio/vocab/9968.mp3,9968.mp3
'otxang,[ʔo.ˈt'aŋ],n. ,musical instrument (generic term),https://s.learnnavi.org/audio/vocab/7620.mp3,7620.mp3
'rrko,[ˈʔ·ṛ.k·o],vin. ,roll,https://s.learnnavi.org/audio/vocab/10496.mp3,10496.mp3
'rrpxom,[ˈʔṛ.p'om],n. ,thunder,https://s.learnnavi.org/audio/vocab/9032.mp3,9032.mp3
'Rrta,[ˈʔṛ.ta],prop.n. ,Earth,https://s.learnnavi.org/audio/vocab/4656.mp3,4656.mp3
'u,[ʔu],n. ,"thing (object, fact, abstraction)",https://s.learnnavi.org/audio/vocab/108.mp3,108.mp3
'ul,[ʔ·ul],vin. ,increase,https://s.learnnavi.org/audio/vocab/8516.mp3,8516.mp3
'umtsa,[ˈʔum.t͡sa],n. ,medicine,https://s.learnnavi.org/audio/vocab/10292.mp3,10292.mp3
'uo,[ˈʔu.o],pn. ,something,https://s.learnnavi.org/audio/vocab/4180.mp3,4180.mp3
'upe,[ˈʔu.pɛ],inter. ,what (thing),https://s.learnnavi.org/audio/vocab/112.mp3,112.mp3
'upxare,[ʔu.ˈp'a.ɾɛ],n. ,message,https://s.learnnavi.org/audio/vocab/116.mp3,116.mp3
'ur,[ʔuɾ],n. ,"sight, look, appearance",https://s.learnnavi.org/audio/vocab/9400.mp3,9400.mp3
a,[a],part. ,clause level attributive marker,https://s.learnnavi.org/audio/vocab/120.mp3,120.mp3
afpawng,[a.ˈfpawŋ],n. ,grief,https://s.learnnavi.org/audio/vocab/11448.mp3,11448.mp3
afpawng si,[a.ˈfpawŋ s·i],vin. ,grieve,https://s.learnnavi.org/audio/vocab/11452.mp3,11452.mp3
aho,[·a.ˈh·o],vin. ,pray,https://s.learnnavi.org/audio/vocab/11384.mp3,11384.mp3
akrrmaw,[a.ˈkṛ.maw],conj. ,after (temporal),https://s.learnnavi.org/audio/vocab/7892.mp3,7892.mp3
akrrta,[a.ˈkṛ.ta],conj. ,since (temporal),https://s.learnnavi.org/audio/vocab/7180.mp3,7180.mp3
akum,[a.ˈkum],conj. ,that (as a result),https://s.learnnavi.org/audio/vocab/8840.mp3,8840.mp3
Akwey,[ak.ˈwɛj],prop.n. ,male Na'vi,https://s.learnnavi.org/audio/vocab/13041.mp3,13041.mp3
alaksi,[a.ˈlak.si],adj. ,ready,https://s.learnnavi.org/audio/vocab/128.mp3,128.mp3
alìm,[a.ˈlɪm],adv. ,"far away, at a distance",https://s.learnnavi.org/audio/vocab/4088.mp3,4088.mp3
alo,[ˈa.lo],n. ,"time, turn, instance, one of a number of repeated or recurring actions",https://s.learnnavi.org/audio/vocab/5444.mp3,5444.mp3
alu,[ˈa.lu],conj. ,"that is, in other words",https://s.learnnavi.org/audio/vocab/6236.mp3,6236.mp3
alunta,[a.ˈlun.ta],conj. ,"because, from the reason",https://s.learnnavi.org/audio/vocab/5580.mp3,5580.mp3
am'a,[am.ˈʔa],n. ,doubt,https://s.learnnavi.org/audio/vocab/7584.mp3,7584.mp3
am'ake,[am.ˈʔa.kɛ],adj. ,"sure, confident",https://s.learnnavi.org/audio/vocab/8860.mp3,8860.mp3
am'aluke,[am.ˈʔa.lu.kɛ],adv. ,without a doubt,https://s.learnnavi.org/audio/vocab/9068.mp3,9068.mp3
Amhul,[am.ˈhul],prop.n. ,female Na'vi,https://s.learnnavi.org/audio/vocab/13042.mp3,13042.mp3
anìheyu,[a.nɪ.ˈhɛ.ju],n. ,"fibonacci, blue spiral plant",https://s.learnnavi.org/audio/vocab/5696.mp3,5696.mp3
Anurai,[ˈa.nu.ɾa.i],prop.n. ,Na'vi Clan name,https://s.learnnavi.org/audio/vocab/13043.mp3,13043.mp3
Aonung,[a.o.nuŋ],prop.n. ,male Na'vi of the Metkayina Clan,https://s.learnnavi.org/audio/vocab/13044.mp3,13044.mp3
apxa,[a.ˈp'a],adj. ,large,https://s.learnnavi.org/audio/vocab/152.mp3,152.mp3
apxangrr,[a.ˈp'a.ŋṛ],n. ,delta tree,https://s.learnnavi.org/audio/vocab/5792.mp3,5792.mp3
asim,[a.ˈsim],adv. ,"nearby, at close range",https://s.learnnavi.org/audio/vocab/4772.mp3,4772.mp3
atan,[a.ˈtan],n. ,light,https://s.learnnavi.org/audio/vocab/160.mp3,160.mp3
atanvi,[a.ˈtan.vi],n. ,ray,https://s.learnnavi.org/audio/vocab/6140.mp3,6140.mp3
atanzaw,[a.ˈtan.zaw],n. ,forked lightning,https://s.learnnavi.org/audio/vocab/9072.mp3,9072.mp3
Ateyitan,[a.ˈtɛj.i.tan],prop.n. ,son of Ateyo,https://s.learnnavi.org/audio/vocab/13045.mp3,13045.mp3
Ateyo,[a.ˈtɛ.jo],prop.n. ,male Na'vi,https://s.learnnavi.org/audio/vocab/13046.mp3,13046.mp3
atokirina',[a.to.ki.ˈɾi.naʔ],n. ,seeds of the great tree,https://s.learnnavi.org/audio/vocab/172.mp3,172.mp3
atxar,[a.ˈt'aɾ],adj. ,"smell of living animals, as found around a watering hole",https://s.learnnavi.org/audio/vocab/9472.mp3,9472.mp3
atxkxe,[at'.ˈk'ɛ],n. ,land,https://s.learnnavi.org/audio/vocab/176.mp3,176.mp3
atxkxerel,[at'.ˈk'ɛ.ɾɛl],n. ,map,https://s.learnnavi.org/audio/vocab/6552.mp3,6552.mp3
au,[a.ˈu],intj. ,exclamation of consternation,https://s.learnnavi.org/audio/vocab/5648.mp3,5648.mp3
au,[ˈa.u],n. ,drum (made of skin),https://s.learnnavi.org/audio/vocab/180.mp3,180.mp3
aungia,[a.ˈu.ŋi.a],n. ,"sign, omen",https://s.learnnavi.org/audio/vocab/184.mp3,184.mp3
awaiei,[a.wa.i.ˈɛ.i],n. ,banshee of paradise,https://s.learnnavi.org/audio/vocab/188.mp3,188.mp3
awnga,[aw.ˈŋa],pn. ,we,https://s.learnnavi.org/audio/vocab/192.mp3,192.mp3
ayfo,[aj.ˈfo] or [ˈaj.fo],pn. ,they,https://s.learnnavi.org/audio/vocab/204.mp3,204.mp3
aylaru,[aj.ˈla.ɾu],pn. ,to the others,https://s.learnnavi.org/audio/vocab/4092.mp3,4092.mp3
aynga,[aj.ˈŋa],pn. ,"you all, you (pl.)",https://s.learnnavi.org/audio/vocab/208.mp3,208.mp3
ayoe,[aj.ˈo.ɛ],pn. ,"we, us (exclusive)",https://s.learnnavi.org/audio/vocab/212.mp3,212.mp3
ayoeng,[aj.ˈwɛŋ],pn. ,"we, us (inclusive)",https://s.learnnavi.org/audio/vocab/216.mp3,216.mp3
ayRam aLusìng,[aj.ˈɾam a.lu.ˈsɪŋ],prop.n. ,the Floating Mountains,https://s.learnnavi.org/audio/vocab/13047.mp3,13047.mp3
aystampe,[aj.ˈstam.pɛ],inter. ,what men,https://s.learnnavi.org/audio/vocab/13120.mp3,13120.mp3
aystepe,[aj.ˈstɛ.pɛ],inter. ,what women,https://s.learnnavi.org/audio/vocab/13128.mp3,13128.mp3
aysupe,[aj.ˈsu.pɛ],inter. ,what people,https://s.learnnavi.org/audio/vocab/13112.mp3,13112.mp3
ayu,[a.ˈju],n. ,things,https://s.learnnavi.org/audio/vocab/5600.mp3,5600.mp3
ayVitrayä Ramunong,[aj.vit.ˈɾa.jæ ɾa.ˈmu.noŋ],prop.n. ,Well of Souls,https://s.learnnavi.org/audio/vocab/13048.mp3,13048.mp3
äie,[æ.ˈi.ɛ],n. ,vision (spiritual),https://s.learnnavi.org/audio/vocab/224.mp3,224.mp3
Änsìt,[ˈæn.sɪt̚],prop.n. ,male Na'vi,https://s.learnnavi.org/audio/vocab/13049.mp3,13049.mp3
äo,[ˈæ.o],adp. ,"under, below",https://s.learnnavi.org/audio/vocab/240.mp3,240.mp3
ätxäle,[æ.ˈt'æ.lɛ],n. ,request,https://s.learnnavi.org/audio/vocab/244.mp3,244.mp3
ätxäle si,[æ.ˈt'æ.lɛ ˈs·i],vin. ,request (with tsnì clause for object),https://s.learnnavi.org/audio/vocab/248.mp3,248.mp3
äzan,[æ.ˈzan],n. ,"force, compulsion",https://s.learnnavi.org/audio/vocab/13172.mp3,13172.mp3
äzan si,[æ.ˈzan s·i],vin. ,"force, compel",https://s.learnnavi.org/audio/vocab/13173.mp3,13173.mp3
äzanluke,[æ.ˈzan.lu.kɛ],adv. ,"voluntarily, without force or compulsion",https://s.learnnavi.org/audio/vocab/13174.mp3,13174.mp3
äzantu,[æ.ˈzan.tu],n. ,"domineering person; one who is bossy, authoritarian, or dictatorial",https://s.learnnavi.org/audio/vocab/13175.mp3,13175.mp3
eampin,[ˈɛ.am.pin],n. ,"blue, green",https://s.learnnavi.org/audio/vocab/6584.mp3,6584.mp3
ean,[ˈɛ.an],adj. ,"blue, green",https://s.learnnavi.org/audio/vocab/256.mp3,256.mp3
eanean,[ˈɛ.an.ˈɛ.an],n. ,"cheadle, herbaceous plant",https://s.learnnavi.org/audio/vocab/5680.mp3,5680.mp3
ekxan,[ɛ.ˈk'an],n. ,"barricade, obstruction",https://s.learnnavi.org/audio/vocab/4548.mp3,4548.mp3
ekxan si,[ɛ.ˈk'an s·i],vin. ,"exclude, keep out, bar",https://s.learnnavi.org/audio/vocab/11188.mp3,11188.mp3
ekxtxu,[ɛk'.ˈt'u],adj. ,rough,https://s.learnnavi.org/audio/vocab/8340.mp3,8340.mp3
eltu,[ˈɛl.tu],n. ,brain,https://s.learnnavi.org/audio/vocab/264.mp3,264.mp3
eltu lefngap,[ˈɛl.tu lɛ.ˈfŋap̚],n. ,computer,https://s.learnnavi.org/audio/vocab/4104.mp3,4104.mp3
eltu si,[ˈɛl.tu s·i],vin. ,"pay attention, quit goofing off",https://s.learnnavi.org/audio/vocab/268.mp3,268.mp3
eltungawng,[ˈɛl.tu.ŋawŋ],n. ,brainworm,https://s.learnnavi.org/audio/vocab/272.mp3,272.mp3
eltur tìtxen si,[ˈɛl.tuɾ tɪ.ˈt'ɛn s·i],vin. ,"be interesting, intriguing",https://s.learnnavi.org/audio/vocab/6520.mp3,6520.mp3
emkä,[ɛm.ˈk·æ],vtr. ,cross,https://s.learnnavi.org/audio/vocab/11104.mp3,11104.mp3
emkäfya,[ɛm.ˈkæ.fja],n. ,"ford, crossing",https://s.learnnavi.org/audio/vocab/12988.mp3,12988.mp3
emrey,[ɛm.ˈɾ·ɛj],vin. ,survive,https://s.learnnavi.org/audio/vocab/7644.mp3,7644.mp3
emza'u,[ɛm.ˈz·a.ʔ·u],vtr. ,"pass (a test), overcome",https://s.learnnavi.org/audio/vocab/280.mp3,280.mp3
Entu,[ˈɛn.tu],prop.n. ,male Na'vi,https://s.learnnavi.org/audio/vocab/13050.mp3,13050.mp3
eo,[ˈɛ.o],adp. ,"before, in front of (place)",https://s.learnnavi.org/audio/vocab/284.mp3,284.mp3
eolì'uvi,[ˈɛ.o.lɪ.ʔu.vi],n. ,prefix,https://s.learnnavi.org/audio/vocab/11304.mp3,11304.mp3
ep'ang,[ɛp.ˈʔaŋ],adj. ,complex,https://s.learnnavi.org/audio/vocab/9148.mp3,9148.mp3
epxang,[ɛ.ˈp'aŋ],n. ,stone jar used to hold small toxic arachnid,https://s.learnnavi.org/audio/vocab/9152.mp3,9152.mp3
etrìp,[ˈɛt.ɾɪp̚],adj. ,"favorable, auspicious",https://s.learnnavi.org/audio/vocab/5244.mp3,5244.mp3
Europa,[ɛ.u.ˈɾo.pa],prop.n. ,Europe,https://s.learnnavi.org/audio/vocab/6900.mp3,6900.mp3
ewktswo,[ˈɛwk.t͡swo],n. ,(sense of) taste,https://s.learnnavi.org/audio/vocab/9424.mp3,9424.mp3
ewku,[ˈ·ɛw.k·u],vtr. ,taste (not intentionally),https://s.learnnavi.org/audio/vocab/9384.mp3,9384.mp3
ewro,[ˈɛw.ɾo],n. ,euro,https://s.learnnavi.org/audio/vocab/9988.mp3,9988.mp3
eyawr,[ɛ.ˈjawɾ],adj. ,"correct, right",https://s.learnnavi.org/audio/vocab/296.mp3,296.mp3
eyawrfya,[ɛ.ˈjawɾ.fja],n. ,"right way (of doing something), correct path",https://s.learnnavi.org/audio/vocab/10920.mp3,10920.mp3
eyaye,[ɛ.ˈja.jɛ],n. ,warbonnet,https://s.learnnavi.org/audio/vocab/300.mp3,300.mp3
eyk,[·ɛjk̚],vtr. ,lead,https://s.learnnavi.org/audio/vocab/304.mp3,304.mp3
eyktan,[ˈɛjk.tan],n. ,leader,https://s.learnnavi.org/audio/vocab/308.mp3,308.mp3
eyktanay,[ɛjk.ta.ˈnaj],n. ,"deputy, general, one step down from leader",https://s.learnnavi.org/audio/vocab/9652.mp3,9652.mp3
eykyu,[ˈɛjk.ju],n. ,"leader (typically temporary, of a small group like a hunting party)",https://s.learnnavi.org/audio/vocab/8856.mp3,8856.mp3
Eytukan,[ˈɛj.tu.kan],prop.n. ,male leader of the Omatikaya,https://s.learnnavi.org/audio/vocab/13051.mp3,13051.mp3
Eywa,[ˈɛj.wa],prop.n. ,"world spirit, Gaia",https://s.learnnavi.org/audio/vocab/13052.mp3,13052.mp3
Eywa'eveng,[ˌɛj.wa.ˈʔɛ.vɛŋ],prop.n. ,Pandora,https://s.learnnavi.org/audio/vocab/13053.mp3,13053.mp3
Eyweveng,[ɛj.ˈwɛ.vɛŋ],prop.n. ,"Pandora (colloquial, short for Eywa'eveng)",https://s.learnnavi.org/audio/vocab/13284.mp3,13284.mp3
fa,[fa],adp. ,"with, by means of",https://s.learnnavi.org/audio/vocab/324.mp3,324.mp3
fahew,[fa.ˈhɛw],n. ,smell,https://s.learnnavi.org/audio/vocab/328.mp3,328.mp3
fäkä,[fæ.ˈk·æ],vin. ,"go up, ascend",https://s.learnnavi.org/audio/vocab/8444.mp3,8444.mp3
faoi,[ˈfa.o.i],adj. ,smooth,https://s.learnnavi.org/audio/vocab/8336.mp3,8336.mp3
fäpa,[ˈfæ.pa],n. ,top,https://s.learnnavi.org/audio/vocab/4084.mp3,4084.mp3
fäpyo,[ˈfæp.jo],n. ,roof,https://s.learnnavi.org/audio/vocab/13154.mp3,13154.mp3
fayluta,[faj.ˈlu.ta],n. ,these words,https://s.learnnavi.org/audio/vocab/7984.mp3,7984.mp3
fäza'u,[fæ.ˈz·a.ʔ·u],vin. ,"come up, ascend",https://s.learnnavi.org/audio/vocab/8448.mp3,8448.mp3
fe',[fɛʔ],adj. ,bad,https://s.learnnavi.org/audio/vocab/7752.mp3,7752.mp3
fe'lup,[ˈfɛʔ.lup̚],adj. ,"tacky, in poor taste",https://s.learnnavi.org/audio/vocab/10124.mp3,10124.mp3
fe'pey,[fɛʔ.ˈp·ɛj],vin. ,"feel dread, expect something bad to happen, fear (with tsnì for thing dreaded) (ii)",https://s.learnnavi.org/audio/vocab/12963.mp3,12963.mp3
fe'ran,[ˈfɛʔ.ɾan],n. ,"flawed nature, something illconceived or inherently defective",https://s.learnnavi.org/audio/vocab/9248.mp3,9248.mp3
fe'ranvi,[ˈfɛʔ.ɾan.vi],n. ,"blemish, deformity, stain, flawed feature",https://s.learnnavi.org/audio/vocab/9256.mp3,9256.mp3
fe'ul,[ˈfɛ.ʔ·ul],vin. ,"worsen, get worse",https://s.learnnavi.org/audio/vocab/9680.mp3,9680.mp3
fekem,[ˈfɛ.kɛm],n. ,accident,https://s.learnnavi.org/audio/vocab/7764.mp3,7764.mp3
fekum,[ˈfɛ.kum],n. ,"disadvantage, drawback, downside",https://s.learnnavi.org/audio/vocab/10752.mp3,10752.mp3
fekumnga',[ˈfɛ.kum.ŋaʔ],adj. ,disadvantageous,https://s.learnnavi.org/audio/vocab/10736.mp3,10736.mp3
few,[fɛw],adp. ,"across, aiming for the opposite side of",https://s.learnnavi.org/audio/vocab/7184.mp3,7184.mp3
fewi,[ˈf·ɛ.w·i],vtr. ,chase,https://s.learnnavi.org/audio/vocab/4244.mp3,4244.mp3
fewtusok,[ˈfɛw.tu.sok̚],adj. ,"opposite, on the opposite side",https://s.learnnavi.org/audio/vocab/7188.mp3,7188.mp3
